"filename", "language", "YAML", "C++", "Properties", "Gradle", "XML", "Dart", "CMake", "JSON", "Swift", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\pubspec.yaml", "YAML", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 13, 118
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 48, 548, 8, 90, 761, 10355, 41, 248, 60, 13, 38, 874, 1107, 14191
